Module	Gene1	Gene2
M3	CPLX2	RRAGA
M3	CPLX2	KLC2
M3	CPLX2	SRSF9
M3	CPLX2	LRRFIP2
M3	CPLX2	PIAS4
M3	CPLX2	DUSP10
M3	CPLX2	ANKRD44
M3	CPLX2	TRAPPC5
M3	CPLX2	HPRT1
M3	CPLX2	DET1
M3	CPLX2	F10
M3	CPLX2	FBXL13
M3	CPLX2	SEMG1
M3	CPLX2	PPP1R2
M3	CPLX2	SEL1L
M3	CPLX2	HOXA10
M3	CPLX2	CEP76
M3	CPLX2	MPZL1
M3	CPLX2	MPPED1
M3	CPLX2	PTP4A1
M3	CPLX2	TGFBRAP1
M3	CPLX2	GH1
M3	CPLX2	KPNA5
M3	CPLX2	KRAS
M3	CPLX2	DEDD
M3	CPLX2	KIF1C
M3	CPLX2	RAMP1
M3	CPLX2	USP33
M3	CPLX2	SS18
M3	CPLX2	SDCCAG3
M3	CPLX2	GSC
M3	CPLX2	IST1
M3	CPLX2	TDRD7
M3	CPLX2	ZBTB21
M3	CPLX2	SYNPO2
M3	CPLX2	CDKN1B
M3	CPLX2	ZNHIT1
M3	IPO8	GABRA4
M3	FBXO7	DDN
M3	CTDP1	CAMK2A
M3	CTDP1	PCDHA6
M3	HMGN3	HCN1
M3	SSR3	GABRB1
M3	PMS2	CELF3
M3	HLA-DOB	CDH7
M3	SV2C	DUSP10
M3	SV2C	SNTA1
M3	SV2C	PTP4A1
M3	SV2C	DOK2
M3	SV2C	FBXO21
M3	SV2C	ATP6V1D
M3	SV2C	TSC22D3
M3	SV2C	PDZD3
M3	SV2C	ATP6V1H
M3	SV2C	IRF8
M3	SV2C	TXNL1
M3	SV2C	YAP1
M3	SV2C	SPATA13
M3	SV2C	RANBP10
M3	SV2C	POLR3H
M3	SV2C	PAPD7
M3	SV2C	IVNS1ABP
M3	SV2C	SUMF2
M3	SV2C	TDRD1
M3	SV2C	TRAPPC6A
M3	SV2C	SORBS2
M3	SV2C	DNAJC6
M3	SV2C	MFSD7
M3	SV2C	CLNS1A
M3	SV2C	SRPK3
M3	SV2C	PLIN2
M3	SV2C	ZNF318
M3	SV2C	LRMP
M3	SV2C	SDHA
M3	SV2C	SLMO2
M3	SV2C	ELMOD2
M3	SV2C	LRRC28
M3	SV2C	PCSK6
M3	SV2C	SEC61B
M3	CPLX1	RPL23A
M3	CPLX1	CCDC42
M3	CPLX1	SMARCE1
M3	CPLX1	C19orf25
M3	CPLX1	PTP4A1
M3	CPLX1	ZNF787
M3	CPLX1	SCEL
M3	CPLX1	VDR
M3	CPLX1	LSAMP
M3	CPLX1	CDCA4
M3	CPLX1	HIST1H4L
M3	CPLX1	FOLR3
M3	CPLX1	ARL13A
M3	CPLX1	ZNF91
M3	CPLX1	PPIL2
M3	CPLX1	SH2B2
M3	CPLX1	BRSK1
M3	CPLX1	GMIP
M3	CPLX1	RABL3
M3	CPLX1	SGK223
M3	CPLX1	CKM
M3	KCNJ6	SH3RF3
M3	KCNJ6	UCHL5
M3	KCNJ6	NIP7
M3	KCNJ6	IFT172
M3	KCNJ6	MSR1
